url,Product link,Thumb image,Brand value,Product value,Strike value,Price value,Discount value,Sizes value,Selectasize values
http://www.myntra.com/men-accessories,"AMERICAN TOURISTER\nUnisex Brown Large Trolley Suitcase\nRs. 9,450Rs. 6,615(30% off)\nSizes: Large","http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/American-Tourister-Unisex-Brown-Speed-Spinner-Trolley-Suitcase_2eb0b8680149e071402c58bf2b8a8354_images_mini.jpg",AMERICAN TOURISTER,Unisex Brown Large Trolley Suitcase,"Rs. 9,450","Rs. 6,615",(30% off),Sizes: Large,Large
http://www.myntra.com/men-accessories,"Roadster\nMen Taupe Dial Watch MFBRD22-C\nRs. 2,499Rs. 1,249(50% off)\nSizes: ONESIZE","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1548740/2016/10/13/11476354902971-Roadster-Men-Taupe-Dial-Watch-MFBRD22-C-1671476354902816-1_mini.jpg",Roadster,Men Taupe Dial Watch MFBRD22-C,"Rs. 2,499","Rs. 1,249",(50% off),Sizes: ONESIZE,ONESIZE
http://www.myntra.com/men-accessories,"Camerii\nMen Black Dial Watch WM191\nRs. 1,199Rs. 479(60% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/image/style/properties/1028297/Camerii-Men-Watches_1_48728f6cd7bd266cad5b2f518dd98cb2_mini.jpg",Camerii,Men Black Dial Watch WM191,"Rs. 1,199",Rs. 479,(60% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Puma\nUnisex Echo Plus Black & White Backpack\nRs. 1,399Rs. 769(45% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/images/style/properties/Puma-Unisex-Echo-Plus-Black---White-Backpack_1703254904590369bdd48eafa6811b32_images_mini.jpg",Puma,Unisex Echo Plus Black & White Backpack,"Rs. 1,399",Rs. 769,(45% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"AMERICAN TOURISTER\nUnisex Black Flint Backpack\nRs. 1,290Rs. 774(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1376704/2016/6/22/11466590965159-AMERICAN-TOURISTER-Unisex-Black-Flint-Backpack-8231466590964898-1_mini.jpg",AMERICAN TOURISTER,Unisex Black Flint Backpack,"Rs. 1,290",Rs. 774,(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"HRX by Hrithik Roshan\nUnisex Grey & Orange Textured Backpack\nRs. 1,999Rs. 1,199(40% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1259256/2016/8/10/11470831955964-HRX-by-Hrithik-Roshan-Men-Grey--Orange-Textured-Backpack-6031470831955542-1_mini.jpg",HRX by Hrithik Roshan,Unisex Grey & Orange Textured Backpack,"Rs. 1,999","Rs. 1,199",(40% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Roadster\nMen Blue & Red Printed Backpack\nRs. 1,899Rs. 949(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1443180/2016/9/22/11474525248920-Roadster-Men-Blue--Red-Printed-Backpack-9741474525248498-1_mini.jpg",Roadster,Men Blue & Red Printed Backpack,"Rs. 1,899",Rs. 949,(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"Skybags\nUnisex Orange & Grey Footloose Leo Printed Backpack\nRs. 2,200Rs. 1,100(50% off)\nSizes: Onesize","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1380797/2016/6/28/11467107701147-Skybags-Unisex-Orange--Grey-Footloose-Leo-Printed-Backpack-1371467107700869-1_mini.jpg",Skybags,Unisex Orange & Grey Footloose Leo Printed Backpack,"Rs. 2,200","Rs. 1,100",(50% off),Sizes: Onesize,Onesize
http://www.myntra.com/men-accessories,"David Blake\nUnisex Aviator Sunglasses LCSGDB478x3025\nRs. 2,290Rs. 687(70% off)\nSizes: 58","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1591834/2016/10/17/11476685972369-David-Blake-Unisex-Sunglasses-831476685972190-1_mini.jpg",David Blake,Unisex Aviator Sunglasses LCSGDB478x3025,"Rs. 2,290",Rs. 687,(70% off),Sizes: 58,58
http://www.myntra.com/men-accessories,"Samsonite\nUnisex Black City Vibe Rolling Small Trolley Bag\nRs. 16,500\nSizes: Cabin","http://assets.myntassets.com/h_240,q_95,w_180/v1/assets/images/1492865/2016/10/12/11476268129048-Samsonite-Unisex-Black-City-Vibe-Rolling-Small-Trolley-Bag-3841476268128806-1_mini.jpg",Samsonite,Unisex Black City Vibe Rolling Small Trolley Bag,,"Rs. 16,500",,Sizes: Cabin,Cabin
